"ID";"Bestedingscategorieen";"Perioden";"CPI_1";"CPIAfgeleid_2";"MaandmutatieCPI_3";"MaandmutatieCPIAfgeleid_4";"JaarmutatieCPI_5";"JaarmutatieCPIAfgeleid_6";"Wegingscoefficient_7"
"314";"T001112  ";"2020MM03";"106.85";"105.44";"0.2";"0.2";"1.4";"1.5";"100000"
"315";"T001112  ";"2020MM04";"107.34";"105.91";"0.5";"0.4";"1.2";"1.3";"100000"
"316";"T001112  ";"2020MM05";"107.18";"105.62";"-0.1";"-0.3";"1.2";"1.1";"100000"
"317";"T001112  ";"2020MM06";"107.51";"105.83";"0.3";"0.2";"1.6";"1.4";"100000"
"318";"T001112  ";"2020MM07";"108.69";"107.01";"1.1";"1.1";"1.7";"1.6";"100000"
"319";"T001112  ";"2020MM08";"108.13";"106.46";"-0.5";"-0.5";"0.7";"0.6";"100000"
"320";"T001112  ";"2020MM09";"107.88";"106.21";"-0.2";"-0.2";"1.1";"1";"100000"
"321";"T001112  ";"2020MM10";"108.47";"106.81";"0.5";"0.6";"1.2";"1.1";"100000"
"322";"T001112  ";"2020MM11";"107.61";"105.96";"-0.8";"-0.8";"0.8";"0.7";"100000"
"323";"T001112  ";"2020MM12";"107.85";"106.19";"0.2";"0.2";"1";"0.9";"100000"
"325";"T001112  ";"2021MM01";"107.62";"105.85";"-0.2";"-0.3";"1.6";"1.2";"100000"
"326";"T001112  ";"2021MM02";"108.57";"106.77";"0.9";"0.9";"1.8";"1.5";"100000"
"327";"T001112  ";"2021MM03";"108.87";"107.05";"0.3";"0.3";"1.9";"1.5";"100000"
"328";"T001112  ";"2021MM04";"109.36";"107.53";"0.5";"0.4";"1.9";"1.5";"100000"
"329";"T001112  ";"2021MM05";"109.46";"107.63";"0.1";"0.1";"2.1";"1.9";"100000"
"330";"T001112  ";"2021MM06";"109.67";"107.84";"0.2";"0.2";"2";"1.9";"100000"
"331";"T001112  ";"2021MM07";"110.23";"108.39";"0.5";"0.5";"1.4";"1.3";"100000"
"332";"T001112  ";"2021MM08";"110.71";"108.87";"0.4";"0.4";"2.4";"2.3";"100000"
"333";"T001112  ";"2021MM09";"110.79";"108.94";"0.1";"0.1";"2.7";"2.6";"100000"
"334";"T001112  ";"2021MM10";"112.18";"110.31";"1.3";"1.3";"3.4";"3.3";"100000"
"335";"T001112  ";"2021MM11";"113.17";"111.29";"0.9";"0.9";"5.2";"5";"100000"
"336";"T001112  ";"2021MM12";"114.01";"112.12";"0.7";"0.7";"5.7";"5.6";"100000"
"338";"T001112  ";"2022MM01";"114.53";"113.64";"0.5";"1.4";"6.4";"7.4";"100000"
"339";"T001112  ";"2022MM02";"115.27";"114.37";"0.6";"0.6";"6.2";"7.1";"100000"
"340";"T001112  ";"2022MM03";"119.46";"118.49";"3.6";"3.6";"9.7";"10.7";"100000"
"341";"T001112  ";"2022MM04";"119.81";"119.21";"0.3";"0.6";"9.6";"10.9";"100000"
"342";"T001112  ";"2022MM05";"119.05";"118.46";"-0.6";"-0.6";"8.8";"10.1";"100000"
"343";"T001112  ";"2022MM06";"119.05";"118.47";"0";"0";"8.6";"9.9";"100000"
"344";"T001112  ";"2022MM07";"121.57";"121.88";"2.1";"2.9";"10.3";"12.4";"100000"
"345";"T001112  ";"2022MM08";"123.95";"124.45";"2";"2.1";"12";"14.3";"100000"
"346";"T001112  ";"2022MM09";"126.89";"127.63";"2.4";"2.6";"14.5";"17.2";"100000"
"347";"T001112  ";"2022MM10";"128.25";"128.98";"1.1";"1.1";"14.3";"16.9";"100000"
"348";"T001112  ";"2022MM11";"124.35";"124.77";"-3";"-3.3";"9.9";"12.1";"100000"
