"ID";"Bestedingscategorieen";"Perioden";"CPI_1";"CPIAfgeleid_2";"MaandmutatieCPI_3";"MaandmutatieCPIAfgeleid_4";"JaarmutatieCPI_5";"JaarmutatieCPIAfgeleid_6";"Wegingscoefficient_7"
"158";"T001112  ";"2008MM03";"89.09";"91.71";"1";"1";"2.1";"2";"100000"
"159";"T001112  ";"2008MM04";"89.42";"92.02";"0.4";"0.3";"2";"1.9";"100000"
"160";"T001112  ";"2008MM05";"89.74";"92.34";"0.4";"0.3";"2.3";"2.1";"100000"
"161";"T001112  ";"2008MM06";"89.58";"92.17";"-0.2";"-0.2";"2.6";"2.4";"100000"
"162";"T001112  ";"2008MM07";"89.72";"92.26";"0.2";"0.1";"3.2";"3";"100000"
"163";"T001112  ";"2008MM08";"89.89";"92.44";"0.2";"0.2";"3.2";"3";"100000"
"164";"T001112  ";"2008MM09";"90.28";"92.84";"0.4";"0.4";"3.1";"2.8";"100000"
"165";"T001112  ";"2008MM10";"90.07";"92.62";"-0.2";"-0.2";"2.8";"2.5";"100000"
"166";"T001112  ";"2008MM11";"89.74";"92.14";"-0.4";"-0.5";"2.3";"1.8";"100000"
"167";"T001112  ";"2008MM12";"89.09";"91.44";"-0.7";"-0.8";"1.9";"1.5";"100000"
"169";"T001112  ";"2009MM01";"89.32";"91.54";"0.3";"0.1";"1.9";"1.4";"100000"
"170";"T001112  ";"2009MM02";"89.95";"92.19";"0.7";"0.7";"2";"1.5";"100000"
"171";"T001112  ";"2009MM03";"90.85";"93.11";"1";"1";"2";"1.5";"100000"
"172";"T001112  ";"2009MM04";"91.05";"93.31";"0.2";"0.2";"1.8";"1.4";"100000"
"173";"T001112  ";"2009MM05";"91.17";"93.45";"0.1";"0.2";"1.6";"1.2";"100000"
"174";"T001112  ";"2009MM06";"90.85";"93.14";"-0.4";"-0.3";"1.4";"1.1";"100000"
"175";"T001112  ";"2009MM07";"89.89";"92.16";"-1.1";"-1.1";"0.2";"-0.1";"100000"
"176";"T001112  ";"2009MM08";"90.14";"92.41";"0.3";"0.3";"0.3";"0";"100000"
"177";"T001112  ";"2009MM09";"90.62";"92.91";"0.5";"0.5";"0.4";"0.1";"100000"
"178";"T001112  ";"2009MM10";"90.7";"93";"0.1";"0.1";"0.7";"0.4";"100000"
"179";"T001112  ";"2009MM11";"90.61";"92.9";"-0.1";"-0.1";"1";"0.8";"100000"
"180";"T001112  ";"2009MM12";"90.08";"92.37";"-0.6";"-0.6";"1.1";"1";"100000"
"182";"T001112  ";"2010MM01";"90.05";"92.15";"0";"-0.2";"0.8";"0.7";"100000"
"183";"T001112  ";"2010MM02";"90.69";"92.8";"0.7";"0.7";"0.8";"0.7";"100000"
"184";"T001112  ";"2010MM03";"91.77";"93.9";"1.2";"1.2";"1";"0.8";"100000"
"185";"T001112  ";"2010MM04";"92.08";"94.2";"0.3";"0.3";"1.1";"1";"100000"
"186";"T001112  ";"2010MM05";"92.04";"94.15";"0";"-0.1";"1";"0.7";"100000"
"187";"T001112  ";"2010MM06";"91.6";"93.7";"-0.5";"-0.5";"0.8";"0.6";"100000"
"188";"T001112  ";"2010MM07";"91.34";"93.44";"-0.3";"-0.3";"1.6";"1.4";"100000"
"189";"T001112  ";"2010MM08";"91.48";"93.58";"0.2";"0.1";"1.5";"1.3";"100000"
"190";"T001112  ";"2010MM09";"92.05";"94.17";"0.6";"0.6";"1.6";"1.4";"100000"
"191";"T001112  ";"2010MM10";"92.13";"94.27";"0.1";"0.1";"1.6";"1.4";"100000"
"192";"T001112  ";"2010MM11";"92.02";"94.16";"-0.1";"-0.1";"1.6";"1.4";"100000"
"193";"T001112  ";"2010MM12";"91.82";"93.96";"-0.2";"-0.2";"1.9";"1.7";"100000"
"195";"T001112  ";"2011MM01";"91.72";"93.8";"-0.1";"-0.2";"1.9";"1.8";"100000"
"196";"T001112  ";"2011MM02";"92.41";"94.5";"0.8";"0.7";"1.9";"1.8";"100000"
"197";"T001112  ";"2011MM03";"93.46";"95.54";"1.1";"1.1";"1.8";"1.7";"100000"
"198";"T001112  ";"2011MM04";"93.96";"96.01";"0.5";"0.5";"2";"1.9";"100000"
"199";"T001112  ";"2011MM05";"94.03";"96.05";"0.1";"0";"2.2";"2";"100000"
"200";"T001112  ";"2011MM06";"93.57";"95.58";"-0.5";"-0.5";"2.2";"2";"100000"
"201";"T001112  ";"2011MM07";"94.04";"96";"0.5";"0.4";"3";"2.7";"100000"
"202";"T001112  ";"2011MM08";"94.19";"96.15";"0.2";"0.2";"3";"2.7";"100000"
"203";"T001112  ";"2011MM09";"94.53";"96.48";"0.4";"0.3";"2.7";"2.5";"100000"
"204";"T001112  ";"2011MM10";"94.57";"96.52";"0";"0";"2.6";"2.4";"100000"
"205";"T001112  ";"2011MM11";"94.28";"96.23";"-0.3";"-0.3";"2.5";"2.2";"100000"
"206";"T001112  ";"2011MM12";"94.04";"95.98";"-0.3";"-0.3";"2.4";"2.1";"100000"
"208";"T001112  ";"2012MM01";"93.99";"95.83";"-0.1";"-0.2";"2.5";"2.2";"100000"
"209";"T001112  ";"2012MM02";"94.7";"96.55";"0.8";"0.8";"2.5";"2.2";"100000"
"210";"T001112  ";"2012MM03";"95.78";"97.66";"1.1";"1.1";"2.5";"2.2";"100000"
"211";"T001112  ";"2012MM04";"96.17";"98.06";"0.4";"0.4";"2.4";"2.1";"100000"
"212";"T001112  ";"2012MM05";"96.03";"97.91";"-0.1";"-0.2";"2.1";"1.9";"100000"
"213";"T001112  ";"2012MM06";"95.57";"97.44";"-0.5";"-0.5";"2.1";"1.9";"100000"
"214";"T001112  ";"2012MM07";"96.2";"98.02";"0.7";"0.6";"2.3";"2.1";"100000"
"215";"T001112  ";"2012MM08";"96.32";"98.15";"0.1";"0.1";"2.3";"2.1";"100000"
"216";"T001112  ";"2012MM09";"96.72";"98.55";"0.4";"0.4";"2.3";"2.1";"100000"
"217";"T001112  ";"2012MM10";"97.29";"98.43";"0.6";"-0.1";"2.9";"2";"100000"
"218";"T001112  ";"2012MM11";"96.89";"98.03";"-0.4";"-0.4";"2.8";"1.9";"100000"
"219";"T001112  ";"2012MM12";"96.76";"97.9";"-0.1";"-0.1";"2.9";"2";"100000"
"221";"T001112  ";"2013MM01";"96.78";"97.35";"0";"-0.6";"3";"1.6";"100000"
"222";"T001112  ";"2013MM02";"97.54";"98.09";"0.8";"0.8";"3";"1.6";"100000"
"223";"T001112  ";"2013MM03";"98.58";"99.13";"1.1";"1.1";"2.9";"1.5";"100000"
"224";"T001112  ";"2013MM04";"98.67";"99.18";"0.1";"0.1";"2.6";"1.1";"100000"
"225";"T001112  ";"2013MM05";"98.69";"99.21";"0";"0";"2.8";"1.3";"100000"
"226";"T001112  ";"2013MM06";"98.32";"98.84";"-0.4";"-0.4";"2.9";"1.4";"100000"
"227";"T001112  ";"2013MM07";"99.15";"99.68";"0.8";"0.8";"3.1";"1.7";"100000"
"228";"T001112  ";"2013MM08";"99.03";"99.55";"-0.1";"-0.1";"2.8";"1.4";"100000"
"229";"T001112  ";"2013MM09";"99.08";"99.61";"0.1";"0.1";"2.4";"1.1";"100000"
"230";"T001112  ";"2013MM10";"98.8";"99.32";"-0.3";"-0.3";"1.6";"0.9";"100000"
"231";"T001112  ";"2013MM11";"98.31";"98.84";"-0.5";"-0.5";"1.5";"0.8";"100000"
"232";"T001112  ";"2013MM12";"98.36";"98.89";"0.1";"0.1";"1.7";"1";"100000"
"234";"T001112  ";"2014MM01";"98.15";"98.32";"-0.2";"-0.6";"1.4";"1";"100000"
"235";"T001112  ";"2014MM02";"98.57";"98.74";"0.4";"0.4";"1.1";"0.7";"100000"
"236";"T001112  ";"2014MM03";"99.39";"99.57";"0.8";"0.8";"0.8";"0.4";"100000"
"237";"T001112  ";"2014MM04";"99.85";"100.03";"0.5";"0.5";"1.2";"0.9";"100000"
"238";"T001112  ";"2014MM05";"99.51";"99.68";"-0.3";"-0.3";"0.8";"0.5";"100000"
"239";"T001112  ";"2014MM06";"99.24";"99.44";"-0.3";"-0.2";"0.9";"0.6";"100000"
"240";"T001112  ";"2014MM07";"100.05";"100.26";"0.8";"0.8";"0.9";"0.6";"100000"
"241";"T001112  ";"2014MM08";"99.98";"100.2";"-0.1";"-0.1";"1";"0.7";"100000"
"242";"T001112  ";"2014MM09";"99.96";"100.18";"0";"0";"0.9";"0.6";"100000"
"243";"T001112  ";"2014MM10";"99.84";"100.06";"-0.1";"-0.1";"1.1";"0.7";"100000"
"244";"T001112  ";"2014MM11";"99.25";"99.47";"-0.6";"-0.6";"1";"0.6";"100000"
"245";"T001112  ";"2014MM12";"99.05";"99.27";"-0.2";"-0.2";"0.7";"0.4";"100000"
"247";"T001112  ";"2015MM01";"98.15";"98.16";"-0.9";"-1.1";"0";"-0.2";"100000"
"248";"T001112  ";"2015MM02";"98.69";"98.7";"0.6";"0.6";"0.1";"0";"100000"
"249";"T001112  ";"2015MM03";"99.75";"99.75";"1.1";"1.1";"0.4";"0.2";"100000"
